brightness,      y,      x, calibrated magnitude
2.213783e+06,   1496,    634, 9.437162e+00
1.883933e+06,   1939,    676, 9.612336e+00
2.435982e+06,   2301,    447, 9.333315e+00
2.425874e+06,    579,   1773, 9.337829e+00
1.574286e+06,   2264,    705, 9.807291e+00
1.291736e+06,   1655,    967, 1.002207e+01
2.174211e+06,   4401,   1313, 9.456746e+00
1.555388e+06,   4331,   1366, 9.820403e+00
1.272692e+06,   3374,    895, 1.003819e+01
1.369793e+06,   3846,   2279, 9.958363e+00
1.280602e+06,    845,    209, 1.003146e+01
7.624986e+05,   4316,    578, 1.059440e+01
9.847814e+05,    466,   1599, 1.031665e+01
6.891927e+05,   1562,   1933, 1.070415e+01
8.929689e+05,    289,   1799, 1.042291e+01
8.312727e+05,   2432,    361, 1.050064e+01
5.350554e+05,   2963,   1494, 1.097900e+01
6.552998e+05,   3598,    366, 1.075890e+01
5.076853e+05,   4223,    584, 1.103601e+01
5.568150e+05,   3207,    856, 1.093572e+01
5.437077e+05,   1742,    685, 1.096159e+01
5.923125e+05,    501,   1012, 1.086862e+01
4.104741e+05,   2357,    669, 1.126679e+01
8.916836e+05,   1782,   1415, 1.042447e+01
4.011850e+05,   1689,   1002, 1.129164e+01
3.801723e+05,   1654,   1932, 1.135005e+01
3.538619e+05,   2335,   1285, 1.142792e+01
4.023130e+05,   1639,    235, 1.128859e+01
1.725739e+05,   3582,    374, 1.220756e+01
2.825978e+05,   2514,    392, 1.167208e+01
2.717385e+05,   3541,    519, 1.171462e+01
3.238735e+05,   3717,    406, 1.152406e+01
6.379127e+05,    830,   1869, 1.078810e+01
2.733486e+05,   2592,   1030, 1.170821e+01
2.316888e+05,   3334,    556, 1.188774e+01
6.222187e+05,   1176,    575, 1.081514e+01
1.867400e+05,   3241,   1816, 1.212191e+01
1.885974e+05,   4212,    349, 1.211116e+01
1.964046e+05,   1556,   2056, 1.206712e+01
2.062800e+05,   2323,   1006, 1.201386e+01
1.772204e+05,   2863,   2079, 1.217872e+01
4.660327e+05,   2278,   2299, 1.112896e+01
1.606052e+05,   3621,   2155, 1.228560e+01
2.291781e+05,    941,    209, 1.189957e+01
1.523172e+05,   3661,   2322, 1.234313e+01
1.658629e+05,   1423,    910, 1.225063e+01
1.448815e+05,   3851,    604, 1.239747e+01
9.300361e+03,    315,   1702, 1.537875e+01
1.349327e+05,   3937,    502, 1.247471e+01
1.171839e+05,   3977,   2281, 1.262783e+01
1.413528e+05,   1297,    521, 1.242424e+01
1.476602e+05,    611,   1313, 1.237684e+01
1.263237e+05,   1804,   1107, 1.254629e+01
9.689002e+04,   4407,   1856, 1.283430e+01
1.048787e+05,   3296,   1914, 1.274828e+01
9.305668e+04,   3523,   1664, 1.287813e+01
1.104260e+05,   3171,    233, 1.269232e+01
4.371411e+05,   3252,   2219, 1.119845e+01
5.331279e+04,   3705,    415, 1.348292e+01
9.301308e+04,   2409,   1920, 1.287864e+01
1.881367e+05,   2377,    795, 1.211382e+01
9.711434e+04,   3441,   1609, 1.283179e+01
1.042572e+05,   2661,   1345, 1.275473e+01
1.617347e+05,   3424,    845, 1.227799e+01
8.298289e+04,   1707,   1999, 1.300253e+01
2.205057e+05,   2698,   1133, 1.194145e+01
8.949368e+04,   3097,    897, 1.292052e+01
3.185725e+05,   2867,   1663, 1.154198e+01
5.219797e+05,   3354,    641, 1.100587e+01
1.744968e+05,    840,    259, 1.219553e+01
2.024827e+05,   3299,   1741, 1.203403e+01
2.833145e+05,    423,   2341, 1.166933e+01
7.161921e+04,   4161,   2305, 1.316243e+01
5.595032e+05,    501,   1293, 1.093049e+01
7.734440e+04,   1765,   1881, 1.307893e+01
7.694304e+04,   1668,   2078, 1.308458e+01
7.747393e+04,   2697,   1311, 1.307711e+01
1.247069e+05,   3071,   2339, 1.256027e+01
6.712039e+04,   2588,   2010, 1.323286e+01
1.880030e+05,    749,   2100, 1.211459e+01
7.665344e+04,    957,   2140, 1.308867e+01
7.979894e+04,   2558,   2115, 1.304501e+01
1.152270e+05,   4364,   2107, 1.264611e+01
1.739160e+05,   1165,    853, 1.219915e+01
7.328958e+04,   1065,   1238, 1.313739e+01
6.222834e+04,   2224,   1633, 1.331503e+01
7.157695e+04,   1403,    250, 1.316307e+01
1.124439e+05,   1145,   1402, 1.267266e+01
1.390193e+05,    284,   1119, 1.244231e+01
6.783281e+04,    941,   2053, 1.322140e+01
9.060436e+04,   3392,   1068, 1.290713e+01
1.172669e+05,   3906,    514, 1.262706e+01
5.552446e+04,   3454,   1244, 1.343879e+01
6.715080e+04,    320,   1715, 1.323237e+01
1.444075e+05,    575,   1249, 1.240103e+01
3.951962e+04,   3001,   1261, 1.380797e+01
4.342296e+04,   3062,   2140, 1.370570e+01
9.847387e+04,    295,    628, 1.281670e+01
4.371120e+04,   2984,   1267, 1.369852e+01
4.461598e+04,   3428,   1669, 1.367627e+01
1.771058e+05,    242,   1025, 1.217942e+01
4.187913e+04,   3537,   2201, 1.374501e+01
4.022327e+05,   2883,    870, 1.128881e+01
5.154977e+04,   1606,    912, 1.351943e+01
4.299396e+04,   3033,   1857, 1.371648e+01
7.437188e+04,   3480,   1142, 1.312148e+01
1.019546e+05,   2162,   1970, 1.277898e+01
2.159072e+05,   1729,   1324, 1.196433e+01
5.238081e+04,   2792,    323, 1.350207e+01
4.589349e+04,   2115,   1013, 1.364562e+01
1.289536e+05,   3954,    547, 1.252392e+01
1.154599e+05,   2011,   1661, 1.264392e+01
1.768566e+05,   1395,   2080, 1.218095e+01
5.166247e+04,   1983,   1977, 1.351706e+01
3.989866e+04,   2421,    970, 1.379760e+01
1.366204e+05,   1957,   1907, 1.246121e+01
1.214604e+04,   3500,   1424, 1.508891e+01
1.150049e+04,   2196,   1424, 1.514821e+01
1.347247e+05,   3338,   1723, 1.247638e+01
1.213802e+05,   2371,   1880, 1.258963e+01
5.609083e+04,   2887,   1171, 1.342777e+01
1.242664e+05,   1563,   1964, 1.256412e+01
1.248136e+05,    911,   1106, 1.255935e+01
3.240921e+04,   4012,   1476, 1.402333e+01
7.641444e+04,    295,    688, 1.309206e+01
3.624427e+04,   4095,    491, 1.390190e+01
3.465347e+04,   3356,   1792, 1.395063e+01
1.177388e+05,   1384,   2336, 1.262270e+01
3.438035e+04,   2699,   1867, 1.395922e+01
1.194472e+05,   1561,   2091, 1.260706e+01
3.467006e+04,   4071,   1367, 1.395011e+01
3.895540e+04,   1042,   1216, 1.382358e+01
4.334308e+04,   3178,    564, 1.370770e+01
2.003434e+05,   1937,   1074, 1.204556e+01
3.557672e+04,   1681,   1398, 1.392209e+01
7.893794e+04,    758,   1013, 1.305679e+01
7.823033e+04,   2866,    901, 1.306656e+01
3.179085e+04,   2486,   1517, 1.404424e+01
4.767727e+04,    252,   2231, 1.360422e+01
5.616565e+04,   1500,   1581, 1.342632e+01
1.705466e+04,   2568,   1451, 1.472039e+01
3.209297e+04,    395,   1422, 1.403398e+01
7.485048e+04,    462,   1800, 1.311451e+01
1.307449e+05,   3483,   1467, 1.250894e+01
3.216142e+04,   3133,    246, 1.403166e+01
9.300315e+04,   1105,    718, 1.287876e+01
4.000227e+04,   4285,   2126, 1.379479e+01
2.961848e+04,   2908,    976, 1.412109e+01
5.529826e+04,   2671,    829, 1.344322e+01
1.382873e+05,   3396,    909, 1.244804e+01
3.107197e+04,   1251,    405, 1.406908e+01
8.383927e+04,   3350,    689, 1.299138e+01
7.136932e+04,   3261,   1883, 1.316622e+01
1.774520e+05,    855,   1734, 1.217730e+01
4.769174e+04,   1011,   1178, 1.360389e+01
9.373239e+04,   2586,   1111, 1.287028e+01
9.282995e+04,   3549,   2199, 1.288078e+01
5.189749e+04,   3225,    909, 1.351213e+01
7.090886e+04,    928,   1035, 1.317325e+01
4.285834e+04,   1291,   1873, 1.371991e+01
2.976114e+04,   2403,    872, 1.411588e+01
1.312845e+05,   2778,    614, 1.250447e+01
2.464894e+04,   4338,   1281, 1.432050e+01
4.574819e+04,   2958,   1334, 1.364907e+01
8.564833e+04,   2642,   2282, 1.296820e+01
6.178425e+04,   3856,    339, 1.332281e+01
3.058822e+04,    929,    577, 1.408611e+01
6.173823e+04,   2520,    443, 1.332361e+01
7.155205e+04,   3306,    608, 1.316344e+01
2.999707e+04,    611,   1823, 1.410730e+01
4.919337e+04,    981,   1993, 1.357023e+01
7.036743e+04,    835,   1336, 1.318157e+01
2.748426e+04,   3877,   1102, 1.420229e+01
5.569134e+04,   1012,   1957, 1.343553e+01
8.812642e+04,    472,   2114, 1.293723e+01
2.265905e+04,   3136,   2279, 1.441190e+01
2.730029e+04,   4073,   2140, 1.420958e+01
8.360050e+04,   3887,    458, 1.299448e+01
3.004084e+04,   1908,    549, 1.410572e+01
5.303097e+04,   2972,    373, 1.348868e+01
2.379455e+04,   1464,   1300, 1.435881e+01
7.214286e+04,   3147,   2114, 1.315452e+01
5.659779e+04,   2211,   2171, 1.341800e+01
2.412591e+04,   1636,   1042, 1.434379e+01
1.824213e+03,   1773,   1424, 1.714731e+01
5.598615e+04,    383,    887, 1.342980e+01
2.674097e+04,   1252,    244, 1.423206e+01
3.116735e+04,    245,   1634, 1.406575e+01
5.329963e+04,   3694,   2071, 1.348319e+01
3.861455e+04,   4044,   2322, 1.383312e+01
3.840408e+04,   2662,   1263, 1.383906e+01
1.819746e+04,   4383,   2149, 1.464997e+01
2.657283e+04,    509,   1708, 1.423891e+01
3.375620e+04,   3098,   2308, 1.397912e+01
6.017617e+04,   2947,   1240, 1.335144e+01
9.310193e+04,   1461,    213, 1.287760e+01
5.189950e+04,    794,   1354, 1.351209e+01
4.972805e+04,   3955,   1841, 1.355850e+01
1.991067e+04,   3478,    575, 1.455229e+01
2.740461e+04,   4010,   1877, 1.420544e+01
2.259667e+04,    478,   1799, 1.441489e+01
3.129592e+04,   1453,    297, 1.406128e+01
6.555054e+04,   2675,    791, 1.325856e+01
3.328996e+04,   3089,    400, 1.399422e+01
3.516315e+04,   1966,    600, 1.393478e+01
5.547172e+04,   1553,    497, 1.343982e+01
2.371204e+03,   1771,   1421, 1.686258e+01
3.831191e+04,    712,   1873, 1.384167e+01
3.953726e+04,   2930,    691, 1.380748e+01
5.343630e+03,   3186,   1199, 1.598041e+01
3.958811e+04,   1225,    845, 1.380609e+01
3.668997e+04,   4193,   1107, 1.388863e+01
4.535396e+04,   1491,    506, 1.365846e+01
2.554499e+04,   3130,   1795, 1.428174e+01
3.014824e+04,   1900,   1919, 1.410184e+01
1.628667e+04,   1961,   1835, 1.477042e+01
8.397542e+04,    695,    441, 1.298962e+01
5.668296e+03,   3503,   1422, 1.591637e+01
3.569781e+04,   4300,   1607, 1.391840e+01
1.686454e+04,   3428,   2021, 1.473256e+01
4.477908e+04,   1008,    449, 1.367231e+01
3.603582e+04,    694,   1323, 1.390816e+01
1.642765e+04,   3730,   1332, 1.476106e+01
3.266099e+04,   1850,   1113, 1.401493e+01
4.015336e+04,   1935,   2168, 1.379070e+01
2.394056e+03,   1793,   1409, 1.685216e+01
1.704480e+04,   1491,   2202, 1.472102e+01
2.232367e+04,   3753,   2364, 1.442809e+01
5.309902e+04,   2654,    519, 1.348728e+01
2.824284e+04,   2874,    784, 1.417273e+01
2.825951e+04,   2094,   1957, 1.417209e+01
3.264681e+04,   2718,   2224, 1.401540e+01
7.775654e+04,   3465,   1457, 1.307316e+01
1.841447e+04,    795,   1484, 1.463710e+01
3.681480e+04,   1145,    933, 1.388494e+01
2.799150e+04,   1614,    595, 1.418243e+01
4.556826e+04,   2268,   1197, 1.365334e+01
1.380006e+04,   1124,   1452, 1.495030e+01
5.681904e+04,   3966,   1919, 1.341377e+01
4.972640e+04,   1180,    744, 1.355853e+01
1.518443e+04,   4280,    921, 1.484650e+01
3.799104e+04,   2222,    364, 1.385080e+01
2.810317e+04,   2985,    474, 1.417811e+01
2.849894e+04,   2854,    905, 1.416293e+01
8.384051e+03,   1769,   1416, 1.549137e+01
2.180257e+04,   2361,   1171, 1.445373e+01
4.831123e+04,    565,   1576, 1.358988e+01
5.862837e+04,   2227,    724, 1.337973e+01
1.102028e+03,   1791,   1406, 1.769452e+01
4.428121e+04,   4319,    478, 1.368445e+01
2.117306e+04,   3282,    890, 1.448554e+01
4.877416e+04,   2182,   2130, 1.357953e+01
1.977466e+04,    204,   2246, 1.455973e+01
2.793592e+04,   2812,    986, 1.418459e+01
2.199432e+04,   2758,   1952, 1.444422e+01
3.139439e+04,    375,   1031, 1.405787e+01
9.381389e+02,   1788,   1404, 1.786933e+01
1.346629e+04,   1793,   1421, 1.497688e+01
4.675434e+04,   1778,   1560, 1.362545e+01
1.499828e+04,   3172,   2279, 1.485990e+01
1.756029e+04,   1350,   1468, 1.468867e+01
1.979494e+04,   3507,   2290, 1.455861e+01
3.113864e+04,    716,    215, 1.406675e+01
4.892150e+03,   1795,   1413, 1.607625e+01
5.552886e+04,   2117,   1802, 1.343870e+01
4.231058e+04,   2797,   1120, 1.373388e+01
3.034929e+04,   1674,   1162, 1.409463e+01
2.938537e+03,   1771,   1409, 1.662967e+01
4.639571e+04,   3586,   1576, 1.363381e+01
1.568324e+04,   1675,   1627, 1.481141e+01
