brightness,      y,      x, calibrated magnitude
2.213783e+06,   1496,    634, 9.437162e+00
1.883933e+06,   1939,    676, 9.612336e+00
2.435982e+06,   2301,    447, 9.333315e+00
2.425874e+06,    579,   1773, 9.337829e+00
1.574286e+06,   2264,    705, 9.807291e+00
1.291736e+06,   1655,    967, 1.002207e+01
2.174211e+06,   4401,   1313, 9.456746e+00
1.555388e+06,   4331,   1366, 9.820403e+00
1.272692e+06,   3374,    895, 1.003819e+01
1.369793e+06,   3846,   2279, 9.958363e+00
1.280602e+06,    845,    209, 1.003146e+01
7.624986e+05,   4316,    578, 1.059440e+01
9.847814e+05,    466,   1599, 1.031665e+01
6.891927e+05,   1562,   1933, 1.070415e+01
8.929689e+05,    289,   1799, 1.042291e+01
8.312727e+05,   2432,    361, 1.050064e+01
