brightness,      y,      x
 39639,   1496,    634
 39374,   1939,    676
 39199,   2301,    447
 37927,    579,   1773
 37293,   2264,    705
 36257,   1655,    967
 36108,   4401,   1313
 35886,   4331,   1366
 35668,   4395,   1313
 35634,   3374,    895
 34675,   3846,   2279
 32324,    845,    209
 30896,   4316,    578
 28854,    466,   1599
 27721,   1562,   1933
 25690,    289,   1799
 25258,   2432,    361
 23660,   2963,   1494
 21303,   3598,    366
 21187,   4223,    584
 20825,   3207,    856
 19020,   1742,    685
 17905,    573,   1774
 17876,    501,   1012
 16693,   2357,    669
 16246,   1782,   1415
 15666,   1689,   1002
 15647,   1654,   1932
 15357,   2335,   1285
 14893,   3583,    375
 14803,   1639,    235
 13763,   2307,    449
 12709,   2514,    392
 12496,   3541,    519
 12444,   1502,    636
 12214,   3717,    406
 11394,    830,   1869
 11297,   2592,   1030
 11295,   3334,    556
 11243,   1497,    640
 11024,   1176,    575
 10369,   3241,   1816
 10103,   4212,    349
  9919,   1556,   2056
  9840,   2323,   1006
  9736,   2863,   2079
  9584,   2278,   2299
  9475,    579,   1779
  9362,   3621,   2155
  9332,   2302,    453
  9331,    941,    209
  9184,    585,   1775
  9181,   3661,   2322
  9110,   1939,    682
  8796,   2295,    446
  8559,   1423,    910
  8346,   3851,    604
  8121,    315,   1702
  8101,   3937,    502
  8037,   3706,    414
  7788,   3977,   2281
  7477,   1297,    521
  7460,    611,   1313
  7438,    580,   1767
  7415,   1804,   1107
  7368,   4398,   1319
  7347,   4407,   1856
  7222,   3296,   1914
  7075,   3523,   1664
  6925,    845,    215
  6861,   2301,    441
  6851,   1654,    973
  6815,   3171,    233
  6752,   3252,   2219
  6736,   2409,   1920
  6723,   2377,    795
  6711,   3852,   2280
  6651,   3441,   1609
  6534,   2262,    699
  6511,   1491,    638
  6435,   1933,    677
  6425,   2661,   1345
  6380,   4337,   1366
  6361,   3424,    845
  6354,   1707,   1999
  6338,   2698,   1133
  6337,   3097,    897
  6328,   2867,   1663
  6288,   1777,   1419
  6277,   3354,    641
  6269,   2264,    711
  6239,    840,    259
  6208,    466,   1593
  6152,   3299,   1741
  6150,   1496,    628
  6128,    423,   2341
  6124,   4161,   2305
  6116,    501,   1293
  6083,   1765,   1881
  6080,   1668,   2078
  6071,   2697,   1311
  6037,   3375,    901
  5971,   3071,   2339
  5970,    845,    203
  5943,   1782,   1409
  5883,   3848,   2285
  5880,   2588,   2010
  5864,    749,   2100
  5822,   1649,    968
  5812,   4399,   1307
  5800,    957,   2140
  5749,   2558,   2115
  5748,   1938,    670
  5736,   2258,    705
  5729,   4364,   2107
  5686,   1165,    853
  5686,   4332,   1360
  5624,   2296,    452
  5614,   1776,   1413
  5598,   1065,   1238
  5597,    574,   1768
  5588,    502,   1006
  5565,    839,    209
  5565,   2224,   1633
  5564,   1788,   1414
  5542,   1403,    250
  5542,   1145,   1402
  5490,   4332,   1372
  5456,    284,   1119
  5447,   2436,    356
  5443,    941,   2053
  5441,   3392,   1068
  5427,   3906,    514
  5422,   1945,    677
  5412,   1783,   1421
  5407,   3454,   1244
  5370,   1175,    581
  5365,    289,   1793
  5353,   1176,    569
  5341,    288,   1805
  5331,    498,   1299
  5323,    320,   1715
  5316,    575,   1249
  5297,   3001,   1261
  5279,   3380,    896
  5278,    836,   1868
  5277,    503,   1287
  5253,   1490,    632
  5221,    460,   1599
  5217,   2307,    443
  5183,   2270,    705
  5178,   3062,   2140
  5173,   3850,   2274
  5158,   3250,   2213
  5140,    832,   1863
  5135,    851,    210
  5135,    295,    628
  5133,   2984,   1267
  5128,   3428,   1669
  5123,    242,   1025
  5114,   3537,   2201
