brightness,      y,      x, calibrated magnitude
2.215368e+06,   1496,    634, 9.436386e+00
1.889322e+06,   1939,    676, 9.609235e+00
2.433282e+06,   2301,    447, 9.334519e+00
2.427881e+06,    579,   1773, 9.336931e+00
1.573573e+06,   2264,    705, 9.807782e+00
1.294072e+06,   1655,    967, 1.002010e+01
2.180677e+06,   4401,   1313, 9.453522e+00
1.562077e+06,   4331,   1366, 9.815744e+00
1.275335e+06,   3374,    895, 1.003594e+01
1.355254e+06,   3846,   2279, 9.969948e+00
1.268601e+06,    845,    209, 1.004169e+01
7.559477e+05,   4316,    578, 1.060377e+01
9.860840e+05,    466,   1599, 1.031522e+01
6.862907e+05,   1562,   1933, 1.070873e+01
8.898941e+05,    289,   1799, 1.042665e+01
8.332843e+05,   2432,    361, 1.049802e+01
5.410816e+05,   2963,   1494, 1.096684e+01
6.824040e+05,   3598,    366, 1.071490e+01
5.059559e+05,   4223,    584, 1.103972e+01
5.576536e+05,   3207,    856, 1.093409e+01
5.436662e+05,   1742,    685, 1.096167e+01
5.933671e+05,    501,   1012, 1.086669e+01
4.239073e+05,   2357,    669, 1.123182e+01
8.210541e+05,   1782,   1415, 1.051407e+01
3.974050e+05,   1689,   1002, 1.130192e+01
3.783865e+05,   1654,   1932, 1.135516e+01
3.522222e+05,   2335,   1285, 1.143296e+01
4.003050e+05,   1639,    235, 1.129402e+01
1.508166e+05,   3582,    375, 1.235388e+01
2.810340e+05,   2514,    392, 1.167810e+01
2.681132e+05,   3541,    519, 1.172920e+01
3.605420e+05,   3717,    406, 1.140761e+01
6.336495e+05,    830,   1869, 1.079538e+01
2.744337e+05,   2592,   1030, 1.170391e+01
2.330433e+05,   3334,    556, 1.188141e+01
6.278057e+05,   1176,    575, 1.080544e+01
1.873546e+05,   3241,   1816, 1.211834e+01
1.870824e+05,   4212,    349, 1.211992e+01
1.926315e+05,   1556,   2056, 1.208818e+01
2.046620e+05,   2323,   1006, 1.202241e+01
1.757650e+05,   2863,   2079, 1.218767e+01
4.694156e+05,   2278,   2299, 1.112111e+01
1.593424e+05,   3621,   2155, 1.229417e+01
2.325086e+05,    941,    209, 1.188390e+01
1.508065e+05,   3661,   2322, 1.235395e+01
1.643340e+05,   1423,    910, 1.226068e+01
1.417798e+05,   3851,    604, 1.242096e+01
9.436250e+03,    315,   1702, 1.536300e+01
1.342483e+05,   3937,    502, 1.248023e+01
1.128675e+05,   3977,   2281, 1.266858e+01
1.401327e+05,   1297,    521, 1.243365e+01
1.462064e+05,    611,   1313, 1.238758e+01
1.219856e+05,   1804,   1107, 1.258423e+01
9.829029e+04,   4407,   1856, 1.281872e+01
1.052147e+05,   3296,   1914, 1.274481e+01
9.437196e+04,   3523,   1664, 1.286289e+01
1.093406e+05,   3171,    233, 1.270305e+01
4.458079e+05,   3252,   2219, 1.117713e+01
9.283306e+04,   2409,   1920, 1.288074e+01
1.895534e+05,   2377,    795, 1.210567e+01
9.655654e+04,   3441,   1609, 1.283805e+01
1.058694e+05,   2661,   1345, 1.273807e+01
1.630178e+05,   3424,    845, 1.226941e+01
8.176381e+04,   1707,   1999, 1.301860e+01
2.178826e+05,   2698,   1133, 1.195444e+01
9.114382e+04,   3097,    897, 1.290068e+01
3.158493e+05,   2867,   1663, 1.155130e+01
5.231092e+05,   3354,    641, 1.100352e+01
1.733829e+05,    840,    259, 1.220248e+01
2.044441e+05,   3299,   1741, 1.202356e+01
2.859952e+05,    423,   2341, 1.165910e+01
6.929579e+04,   4161,   2305, 1.319823e+01
5.539064e+05,    501,   1293, 1.094141e+01
7.661051e+04,   1765,   1881, 1.308928e+01
7.465260e+04,   1668,   2078, 1.311739e+01
7.633798e+04,   2697,   1311, 1.309315e+01
1.201241e+05,   3071,   2339, 1.260092e+01
6.666857e+04,   2588,   2010, 1.324020e+01
1.895800e+05,    749,   2100, 1.210552e+01
7.547747e+04,    957,   2140, 1.310546e+01
7.843075e+04,   2558,   2115, 1.306378e+01
1.161991e+05,   4364,   2107, 1.263699e+01
1.703951e+05,   1165,    853, 1.222136e+01
7.580522e+04,   1065,   1238, 1.310075e+01
6.125728e+04,   2224,   1633, 1.333211e+01
6.974161e+04,   1403,    250, 1.319127e+01
1.085872e+05,   1145,   1402, 1.271055e+01
1.354292e+05,    284,   1119, 1.247072e+01
6.652610e+04,    941,   2053, 1.324252e+01
9.095421e+04,   3392,   1068, 1.290294e+01
1.169684e+05,   3906,    514, 1.262983e+01
5.489286e+04,   3454,   1244, 1.345121e+01
6.616151e+04,    320,   1715, 1.324849e+01
1.447198e+05,    575,   1249, 1.239868e+01
4.038440e+04,   3001,   1261, 1.378447e+01
4.315494e+04,   3062,   2140, 1.371242e+01
9.859073e+04,    295,    628, 1.281541e+01
4.481309e+04,   2984,   1267, 1.367149e+01
4.512699e+04,   3428,   1669, 1.366391e+01
1.699228e+05,    242,   1025, 1.222437e+01
1.449759e+05,   3537,   2201, 1.239676e+01
3.962539e+05,   2883,    870, 1.130507e+01
5.017429e+04,   1606,    912, 1.354880e+01
